time_ms,left_enc,right_enc
1748417194696,-5395,-4430
1748417194810,-5255,-4284
1748417194916,-5114,-4137
1748417195027,-4975,-3992
1748417195137,-4834,-3845
1748417195245,-4695,-3699
1748417195356,-4554,-3552
1748417195465,-4414,-3406
1748417195576,-4274,-3260
1748417195685,-4133,-3114
1748417195794,-3993,-2968
1748417195904,-3853,-2821
1748417196021,-3712,-2675
1748417196133,-3572,-2529
1748417196234,-3431,-2382
1748417196345,-3291,-2237
1748417196460,-3151,-2090
1748417196563,-3010,-1944
1748417196677,-2870,-1798
1748417196783,-2729,-1651
1748417196896,-2589,-1505
1748417197002,-2449,-1359
1748417197112,-2308,-1213
1748417197222,-2168,-1067
1748417197332,-2027,-921
1748417197442,-1886,-774
1748417197552,-1746,-628
1748417197661,-1606,-482
1748417197771,-1466,-336
1748417197884,-1325,-190
1748417197991,-1184,-43
1748417198100,-1044,102
1748417198212,-903,249
1748417198322,-763,395
1748417198429,-622,541
1748417198539,-481,688
1748417198649,-341,834
1748417198760,-200,980
1748417198870,-60,1127
1748417198979,79,1273
1748417199089,220,1420
1748417199198,361,1566
1748417199314,501,1712
1748417199418,642,1858
1748417199527,782,2004
1748417199637,923,2151
1748417199747,1063,2297
1748417199857,1204,2444
1748417199967,1345,2590
1748417200077,1485,2737
1748417200187,1625,2884
1748417200297,1765,3030
1748417200406,1906,3176
1748417200516,2047,3323
1748417200628,2187,3469
1748417200736,2327,3615
1748417200845,2468,3762
1748417200955,2608,3908
1748417201076,2749,4055
1748417201176,2889,4201
1748417201284,3029,4348
1748417201400,3170,4494
1748417201504,3310,4640
1748417201616,3386,4720
1748417201725,3271,4606
1748417201834,3133,4470
1748417201944,2992,4332
1748417202053,2851,4194
1748417202163,2710,4056
1748417202273,2568,3918
1748417202387,2428,3780
1748417202499,2286,3642
1748417202602,2145,3504
1748417202718,2004,3366
1748417202823,1863,3228
1748417202931,1722,3090
1748417203041,1580,2951
1748417203155,1440,2814
1748417203265,1299,2676
1748417203371,1158,2537
1748417203480,1017,2400
1748417203590,876,2261
1748417203700,735,2124
1748417203810,594,1986
1748417203923,453,1847
1748417204033,312,1710
1748417204139,171,1572
1748417204249,30,1434
1748417204361,-110,1296
1748417204469,-252,1158
1748417204580,-392,1020
1748417204689,-534,882
1748417204797,-675,744
1748417204910,-816,606
1748417205021,-957,468
1748417205127,-1098,331
1748417205238,-1239,192
1748417205347,-1380,55
1748417205457,-1521,-83
1748417205567,-1663,-221
1748417205677,-1804,-359
1748417205786,-1944,-497
1748417205896,-2086,-635
1748417206006,-2226,-773
1748417206116,-2368,-911
1748417206233,-2509,-1049
1748417206336,-2649,-1186
1748417206447,-2791,-1325
1748417206555,-2931,-1462
1748417206666,-3073,-1601
1748417206775,-3214,-1739
1748417206884,-3354,-1876
1748417206995,-3496,-2015
1748417207104,-3636,-2152
1748417207215,-3778,-2291
1748417207328,-3919,-2428
1748417207436,-4060,-2567
1748417207544,-4201,-2705
1748417207653,-4341,-2843
1748417207763,-4483,-2981
1748417207873,-4624,-3119
1748417207983,-4765,-3257
1748417208095,-4906,-3395
1748417208202,-5047,-3533
1748417208312,-5188,-3671
1748417208427,-5330,-3809
1748417208532,-5470,-3947
1748417208642,-5612,-4085
1748417208758,-5752,-4223
1748417208863,-5894,-4361
1748417208972,-6035,-4499
1748417209081,-6176,-4637
1748417209195,-6317,-4775
1748417209300,-6458,-4913
1748417209410,-6599,-5051
1748417209520,-6741,-5189
1748417209636,-6882,-5327
1748417209742,-7023,-5465
1748417209849,-7164,-5602
1748417209960,-7305,-5741
1748417210070,-7446,-5879
1748417210179,-7587,-6017
1748417210288,-7728,-6154
1748417210399,-7869,-6293
1748417210510,-8010,-6430
1748417210618,-8151,-6569
1748417210730,-8292,-6707
1748417210837,-8433,-6844
1748417210950,-8574,-6983
1748417211065,-8715,-7120
1748417211167,-8857,-7245
1748417211278,-8984,-7348
1748417211386,-9090,-7430
1748417211499,-9176,-7494
1748417211606,-9242,-7539
1748417211718,-9290,-7569
1748417211826,-9322,-7584
1748417211936,-9338,-7586
1748417212046,-9342,-7586
1748417212155,-9341,-7586
1748417212265,-9341,-7586
1748417212375,-9341,-7586
1748417212488,-9341,-7586
1748417212594,-9341,-7586
1748417212704,-9341,-7586
1748417212822,-9341,-7586
1748417212925,-9341,-7586
1748417213037,-9341,-7586
1748417213143,-9341,-7586
1748417213256,-9341,-7586
1748417213364,-9341,-7586
1748417213476,-9341,-7586
1748417213583,-9341,-7586
1748417213696,-9341,-7586
1748417213803,-9341,-7586
1748417213912,-9341,-7586
1748417214022,-9341,-7586
1748417214139,-9341,-7586
1748417214242,-9341,-7586
1748417214352,-9341,-7586
1748417214461,-9341,-7586
1748417214571,-9341,-7586
1748417214681,-9341,-7586
1748417214791,-9341,-7586
1748417214904,-9341,-7586
1748417215010,-9341,-7586
1748417215120,-9341,-7586
1748417215235,-9341,-7586
1748417215340,-9341,-7586
