time_ms,left_enc,right_enc
1748424139923,0,4111
1748424140034,0,3972
1748424140143,0,3834
1748424140252,0,3695
1748424140363,0,3556
1748424140472,0,3417
1748424140582,0,3278
1748424140692,0,3139
1748424140809,0,3001
1748424140911,0,2862
1748424141022,0,2723
1748424141131,0,2584
1748424141241,0,2445
1748424141351,0,2307
1748424141460,0,2168
1748424141571,0,2029
1748424141679,0,1891
1748424141789,0,1751
1748424141900,0,1613
1748424142009,0,1474
1748424142121,0,1335
1748424142229,0,1196
1748424142339,0,1057
1748424142448,0,919
1748424142563,0,780
1748424142668,0,655
1748424142778,0,553
1748424142887,0,473
1748424143000,0,411
1748424143112,0,368
1748424143218,0,341
1748424143329,0,329
1748424143436,0,329
1748424143546,0,329
1748424143658,0,329
1748424143775,0,329
1748424143879,0,329
1748424143995,0,330
1748424144100,0,367
1748424144206,0,501
1748424144326,0,647
1748424144424,0,794
1748424144534,0,942
1748424144646,0,1088
1748424144754,0,1236
1748424144866,0,1384
1748424144974,0,1531
1748424145088,0,1678
1748424145198,0,1826
1748424145303,0,1973
1748424145420,0,2121
1748424145528,0,2267
1748424145641,0,2415
1748424145745,0,2563
1748424145852,0,2710
1748424145962,0,2858
1748424146076,0,3005
1748424146182,0,3152
1748424146297,0,3299
1748424146402,0,3446
1748424146514,0,3594
1748424146624,0,3741
1748424146734,0,3888
1748424146842,0,4036
1748424146950,0,4183
1748424147061,0,4331
1748424147176,0,4478
1748424147281,0,4625
1748424147390,0,4773
1748424147505,0,4920
1748424147612,0,5068
1748424147719,0,5215
1748424147828,0,5362
1748424147938,0,5509
1748424148048,0,5656
1748424148161,0,5804
1748424148269,0,5951
1748424148378,0,6099
1748424148488,0,6246
1748424148599,0,6393
1748424148710,0,6541
1748424148818,0,6689
1748424148926,0,6836
1748424149038,0,6984
1748424149149,0,7130
1748424149256,0,7278
1748424149366,0,7426
1748424149476,0,7572
1748424149590,0,7720
1748424149699,0,7867
1748424149805,0,8015
1748424149915,0,8162
1748424150025,0,8309
1748424150135,0,8457
1748424150245,0,8604
1748424150355,0,8752
1748424150464,0,8899
1748424150573,0,9046
1748424150684,0,9194
1748424150793,0,9342
1748424150903,0,9489
1748424151018,0,9637
1748424151122,0,9783
1748424151237,0,9931
1748424151349,0,10079
1748424151455,0,10226
1748424151562,0,10374
1748424151675,0,10521
1748424151782,0,10669
1748424151901,0,10816
1748424152004,0,10964
1748424152115,0,11111
1748424152221,0,11259
1748424152332,0,11406
1748424152446,0,11553
1748424152550,0,11700
1748424152664,0,11848
1748424152771,0,11996
1748424152881,0,12143
1748424152991,0,12291
1748424153108,0,12438
1748424153213,0,12585
1748424153321,0,12733
1748424153429,0,12880
1748424153541,0,13028
1748424153649,0,13175
1748424153763,0,13323
1748424153868,0,13471
1748424153978,0,13618
1748424154088,0,13765
1748424154198,0,13913
1748424154307,0,14061
1748424154420,0,14208
1748424154527,0,14356
1748424154642,0,14498
1748424154746,0,14619
1748424154857,0,14720
1748424154966,0,14801
1748424155076,0,14863
1748424155188,0,14907
1748424155296,0,14937
1748424155409,0,14951
1748424155523,0,14954
1748424155625,0,14954
1748424155736,0,14954
1748424155846,0,14954
1748424155954,0,14954
1748424156069,0,14954
1748424156175,0,14954
1748424156283,0,14954
1748424156394,0,14954
1748424156503,0,14954
1748424156632,0,14954
1748424156725,0,14954
1748424156833,0,14954
1748424156946,0,14954
1748424157052,0,14954
1748424157163,0,14954
1748424157272,0,14945
1748424157382,0,14829
1748424157492,0,14692
1748424157602,0,14554
1748424157711,0,14415
1748424157821,0,14276
1748424157931,0,14137
1748424158041,0,13998
1748424158150,0,13860
1748424158262,0,13721
1748424158370,0,13582
1748424158501,0,13443
1748424158590,0,13304
1748424158699,0,13166
1748424158809,0,13026
1748424158919,0,12887
1748424159032,0,12748
1748424159139,0,12609
1748424159248,0,12471
1748424159361,0,12331
1748424159469,0,12192
1748424159579,0,12054
1748424159690,0,11914
1748424159799,0,11775
1748424159910,0,11637
1748424160022,0,11497
1748424160128,0,11359
1748424160237,0,11220
1748424160347,0,11080
1748424160456,0,10942
1748424160569,0,10803
1748424160676,0,10664
1748424160786,0,10525
1748424160896,0,10386
1748424161005,0,10248
1748424161115,0,10109
1748424161225,0,9970
1748424161335,0,9831
1748424161446,0,9692
1748424161558,0,9554
1748424161666,0,9433
1748424161774,0,9334
1748424161887,0,9256
1748424161994,0,9197
1748424162105,0,9156
1748424162213,0,9131
1748424162323,0,9121
1748424162433,0,9119
1748424162542,0,9119
1748424162653,0,9119
1748424162762,0,9119
1748424162872,0,9119
1748424162982,0,9119
1748424163094,0,9119
1748424163201,0,9119
1748424163311,0,9119
1748424163424,0,9119
1748424163532,0,9119
1748424163641,0,9119
1748424163750,0,9119
1748424163863,0,9119
1748424163973,0,9119
1748424164081,0,9119
1748424164194,0,9119
1748424164300,0,9119
1748424164409,0,9119
1748424164519,0,9119
1748424164630,0,9119
1748424164742,0,9119
1748424164849,0,9119
1748424164960,0,9119
1748424165068,0,9119
1748424165180,0,9119
1748424165288,0,9119
1748424165401,0,9119
1748424165507,0,9119
1748424165620,0,9119
1748424165727,0,9119
1748424165839,0,9119
1748424165947,0,9119
1748424166056,0,9119
1748424166166,0,9119
1748424166279,0,9119
1748424166386,0,9119
1748424166496,0,9119
1748424166607,0,9119
1748424166715,0,9119
1748424166825,0,9119
1748424166935,0,9119
1748424167045,0,9119
1748424167154,0,9119
1748424167264,0,9119
1748424167377,0,9119
1748424167484,0,9119
1748424167598,0,9119
1748424167705,0,9119
