timestamp_s,pitch_degrees,control_latency_microseconds
0.0,0.2
0.01,0.45285,47.21
0.02,0.13306,2.86
0.03,0.56988,2.86
0.04,0.31771,3.10
0.05,0.50574,1.91
0.06,0.95091,6.20
0.07,0.39449,2.15
0.08,0.59579,1.67
0.09,0.20168,2.15
0.1,0.54265,2.15
0.11,1.12768,2.15
0.12,0.19091,5.25
0.13,0.95321,4.05
0.14,0.32723,2.62
0.15,0.81905,0.95
0.16,1.04044,1.91
0.17,0.55052,2.15
0.18,0.48583,0.95
0.19,0.33439,2.86
0.2,0.20136,2.86
0.21,0.23776,0.95
0.22,0.32179,1.67
0.23,1.26394,2.15
0.24,0.6048,7.87
0.25,0.63986,6.91
0.26,0.60469,5.96
0.27,0.56464,5.01
0.28,-0.18587,4.05
0.29,0.5443,3.10
0.3,0.02564,3.10
0.31,-0.5992,3.10
0.32,-0.16896,3.81
0.33,-0.10202,4.29
0.34,-0.09358,3.10
0.35,0.03952,7.87
0.36,-0.18743,2.86
0.37,-0.06428,2.15
0.38,0.66682,3.10
0.39,-0.18752,4.29
0.4,0.04044,3.10
0.41,0.24287,1.19
0.42,-0.14397,1.67
0.43,-0.17377,1.91
0.44,-0.69778,2.15
0.45,-0.2433,1.91
0.46,0.3768,2.15
0.47,-0.62512,5.25
0.48,-0.04109,1.67
0.49,0.09808,2.15
0.5,-0.66701,2.15
0.51,-0.2897,0.95
0.52,0.44171,1.67
0.53,-0.56104,2.15
0.54,-0.05385,2.15
0.55,-0.38777,4.05
0.56,0.21698,4.05
0.57,0.25556,3.81
0.58,-0.0997,2.62
0.59,-0.44595,2.15
0.6,0.28701,1.91
0.61,-0.46344,1.91
0.62,0.65825,2.15
0.63,0.05087,1.91
0.64,-0.25648,3.10
0.65,-0.10302,1.91
0.66,0.56938,3.10
0.67,-0.21179,3.10
0.68,0.18019,0.95
0.69,-0.14951,1.19
0.7,0.04307,0.95
0.71,-0.32976,0.95
0.72,-0.43439,1.19
0.73,0.19578,1.19
0.74,-0.53254,2.15
0.75,0.59545,2.15
0.76,0.40691,0.95
0.77,0.12184,1.91
0.78,0.04629,11.68
0.79,-0.08897,2.15
0.8,-0.08361,1.91
0.81,0.25462,1.91
0.82,-0.10757,1.91
0.83,0.36516,1.91
0.84,0.50271,3.10
0.85,0.75495,1.91
0.86,0.38161,3.10
0.87,0.45683,2.15
0.88,0.06802,2.15
0.89,-0.39055,2.15
0.9,-0.15254,0.95
0.91,0.47747,2.15
0.92,-0.12035,0.95
0.93,0.30779,1.67
