timestamp_s,pitch_degrees,control_latency_microseconds
0.0,0.2
0.01,0.33808,44.82
0.02,-0.11099,13.83
0.03,0.41066,18.84
0.04,-0.05435,9.06
0.05,0.21524,8.11
0.06,0.54452,6.20
0.07,-0.20624,14.07
0.08,0.17647,5.96
0.09,-0.33536,5.96
0.1,0.17289,14.78
0.11,0.61895,10.01
0.12,-0.53779,15.97
0.13,0.56828,17.88
0.14,-0.38708,11.92
0.15,0.381,6.91
0.16,0.38222,6.91
0.17,-0.17698,5.01
0.18,-0.07742,7.15
0.19,-0.28824,5.01
0.2,0.36571,10.97
0.21,-1.26759,6.20
0.22,0.84898,6.20
0.23,2.49941,7.87
0.24,2.58659,6.20
0.25,3.38888,5.72
0.26,1.75675,5.96
0.27,0.66,28.85
0.28,0.25046,26.94
0.29,0.9495,21.93
0.3,-0.35255,15.97
0.31,0.96581,13.83
0.32,1.72576,14.07
0.33,1.22865,10.01
0.34,-0.22284,11.21
0.35,0.17814,17.88
0.36,-0.18514,20.98
0.37,0.54521,13.11
0.38,0.0732,10.97
0.39,-0.60074,9.06
0.4,0.76601,11.92
0.41,0.6194,7.87
0.42,-0.754,10.97
0.43,0.23387,10.01
0.44,-0.73124,13.11
0.45,1.268,14.07
0.46,2.19938,33.86
0.47,-0.61089,22.89
0.48,0.33088,17.88
0.49,-0.65927,10.97
0.5,-0.37962,8.11
0.51,0.3941,14.07
0.52,-0.03778,10.01
0.53,-0.95294,7.15
0.54,0.18831,7.15
0.55,-1.5253,11.92
0.56,2.39707,5.96
0.57,4.37532,13.11
0.58,5.32017,15.74
0.59,5.45383,26.23
0.6,6.42765,19.31
0.61,6.07954,15.97
0.62,6.06804,10.01
0.63,0.60521,17.17
0.64,-2.94894,7.87
0.65,-4.6155,7.15
0.66,-3.10263,11.92
0.67,-3.1846,7.87
0.68,-1.99661,5.96
0.69,-1.55471,6.20
0.7,0.97617,4.77
0.71,0.67378,10.01
0.72,0.39294,5.25
0.73,0.95693,6.20
0.74,-1.52184,8.34
0.75,0.05561,6.20
0.76,-1.05123,6.20
0.77,-1.38324,10.97
0.78,-0.4074,5.01
0.79,-0.30116,5.96
0.8,0.30423,5.25
0.81,-0.28784,6.91
0.82,0.27281,5.25
0.83,0.18885,7.15
0.84,0.28758,5.96
0.85,0.18742,6.91
0.86,-0.1572,5.96
0.87,0.9592,7.15
0.88,-0.77827,12.16
0.89,-1.72894,7.87
0.9,-0.20897,6.20
0.91,0.97271,6.20
0.92,-0.12288,5.96
0.93,1.63405,6.20
0.94,-1.10764,7.15
0.95,-2.40848,5.01
0.96,-2.52544,4.77
0.97,-2.52424,6.20
0.98,-2.53776,9.06
0.99,1.02757,7.87
1.0,1.71813,4.77
1.01,1.25345,5.01
1.02,0.23298,5.25
1.03,0.56466,6.91
1.04,0.40722,6.20
1.05,-0.69303,5.96
1.06,0.87241,4.29
1.07,0.29236,5.01
1.08,1.3605,3.81
1.09,-0.60997,7.15
1.1,0.10749,5.25
1.11,-0.62765,9.06
1.12,0.85864,5.96
1.13,0.31942,4.29
1.14,0.64964,4.77
1.15,-0.53864,4.77
1.16,-0.04969,5.01
1.17,-0.46981,5.25
1.18,0.60778,5.01
1.19,-0.25275,4.77
1.2,1.37004,10.01
1.21,1.3921,5.96
1.22,0.19701,5.01
1.23,0.63227,5.01
1.24,-1.23229,5.25
1.25,2.38177,6.91
1.26,4.38264,3.81
1.27,5.78566,5.01
1.28,8.47432,4.77
1.29,9.65878,4.77
1.3,10.53661,5.01
1.31,7.51051,5.01
1.32,4.35681,5.96
1.33,1.43147,4.77
1.34,0.39894,3.81
1.35,0.43314,5.01
1.36,0.10068,5.01
1.37,0.73289,5.01
1.38,-1.27678,4.05
1.39,1.47815,5.01
1.4,0.38427,5.01
1.41,1.32983,5.01
1.42,-0.49685,8.11
1.43,0.93038,5.96
1.44,1.29208,4.77
1.45,0.93245,5.01
1.46,-0.48783,4.05
1.47,0.34917,6.91
1.48,1.4963,5.96
1.49,-0.88414,5.25
1.5,-1.71792,5.96
1.51,-1.13391,5.25
1.52,0.98931,5.01
1.53,-0.7202,5.01
1.54,-1.81898,5.25
1.55,-2.42775,6.20
1.56,-2.2531,4.77
1.57,-0.12545,4.05
1.58,0.8152,5.01
1.59,0.06781,4.05
1.6,1.45821,6.20
1.61,-1.21601,5.01
1.62,-1.95814,5.01
1.63,-1.58426,5.01
1.64,-0.23359,5.01
1.65,-0.37363,5.96
1.66,1.0899,4.05
1.67,0.58824,4.77
1.68,0.4794,5.01
1.69,0.07909,5.96
1.7,1.20997,5.01
1.71,0.0229,5.01
1.72,0.37106,10.97
1.73,-0.72187,5.01
1.74,2.27454,5.25
1.75,3.45639,4.77
1.76,2.75244,2.86
1.77,2.59193,2.62
1.78,0.56963,5.01
1.79,-1.02334,5.01
1.8,-0.94542,4.05
1.81,0.20487,5.25
1.82,-0.64662,4.05
1.83,0.32922,4.05
1.84,-0.02819,5.25
1.85,1.40732,4.77
1.86,-0.33492,5.25
1.87,0.01984,5.01
1.88,-0.22498,3.81
1.89,1.62816,4.77
1.9,0.9084,10.97
1.91,-0.15372,4.05
1.92,1.31096,5.01
1.93,-0.89446,5.72
1.94,0.04346,5.25
1.95,-1.08204,4.77
1.96,0.43285,4.29
1.97,-0.95506,5.25
1.98,-1.15032,17.17
1.99,-0.28995,30.04
2.0,-0.74267,16.93
2.01,1.92239,14.78
2.02,1.90697,10.97
2.03,1.5344,9.06
2.04,-0.01822,7.87
2.05,0.97517,10.97
2.06,1.72334,8.11
2.07,-1.1781,25.75
2.08,-1.11875,13.11
2.09,-1.37564,7.87
2.1,-1.13644,5.96
2.11,1.24928,7.87
2.12,-0.6627,8.11
2.13,-1.62422,6.91
2.14,-1.57214,5.01
2.15,-2.08341,6.91
2.16,-0.31968,5.25
2.17,0.41621,4.77
2.18,-1.57889,5.96
2.19,1.69276,8.11
2.2,3.27822,4.77
2.21,4.17298,5.01
2.22,5.19977,5.96
2.23,5.54429,5.96
2.24,2.13293,4.05
2.25,0.85727,4.77
2.26,1.08305,4.05
2.27,-0.86661,6.20
2.28,-0.46235,5.25
2.29,0.69203,6.91
2.3,-1.30183,3.81
2.31,0.58541,5.96
2.32,-1.67556,6.20
2.33,-0.50182,5.01
2.34,-1.64761,5.96
2.35,0.32102,7.87
2.36,-1.11069,5.01
2.37,-0.39486,5.96
2.38,0.19013,5.01
2.39,-0.6697,4.05
2.4,1.67323,5.25
2.41,2.91946,5.01
2.42,0.63122,4.05
2.43,1.11261,4.77
2.44,-0.74593,4.77
2.45,0.27052,5.96
2.46,-0.56236,5.96
2.47,0.13764,5.96
2.48,1.31788,5.72
2.49,0.17733,5.72
2.5,-0.65352,4.05
2.51,2.17473,5.01
2.52,0.20754,5.01
2.53,-0.6264,4.77
2.54,-1.29354,4.77
2.55,0.07506,5.25
2.56,-1.58313,4.05
2.57,-0.29732,4.77
2.58,-0.61981,6.20
2.59,1.54964,5.01
2.6,0.44339,5.01
2.61,0.93977,6.20
2.62,-0.49142,5.25
2.63,-0.21177,5.01
2.64,-0.85992,10.97
2.65,1.94067,4.05
2.66,3.22176,6.20
2.67,3.24698,4.29
2.68,0.31633,4.05
2.69,-1.30033,6.20
2.7,-2.04634,4.29
2.71,-1.03766,5.01
2.72,-1.04691,5.96
2.73,2.05106,5.01
2.74,1.91454,5.01
2.75,2.34039,5.01
2.76,-0.16645,9.06
2.77,-1.03146,5.01
2.78,-1.69608,4.05
2.79,-0.71701,10.01
2.8,-0.26376,4.77
2.81,0.73897,6.20
2.82,-0.43496,5.72
2.83,1.61762,6.20
2.84,1.1254,4.05
2.85,0.31846,6.20
2.86,1.03726,4.77
2.87,-0.44323,5.72
2.88,1.96084,7.15
2.89,1.58589,5.01
2.9,-0.56825,5.01
2.91,0.7587,5.01
2.92,0.95408,3.81
2.93,0.46734,4.29
2.94,1.57474,5.01
2.95,-0.77574,5.96
2.96,-1.6763,5.01
2.97,-1.14832,5.72
2.98,0.71156,5.01
2.99,-1.10343,5.01
3.0,-1.25709,3.81
3.01,0.25071,4.77
3.02,-1.06421,7.87
3.03,0.70957,5.01
3.04,1.21066,5.25
3.05,1.32801,4.77
3.06,-0.52568,5.96
3.07,0.87273,3.81
3.08,1.73115,6.20
3.09,1.98938,5.25
3.1,0.52159,5.96
3.11,1.51282,5.96
3.12,1.52557,5.25
3.13,0.77173,5.01
3.14,0.39103,5.96
3.15,0.73884,15.97
3.16,-0.69037,5.25
3.17,1.89891,3.81
3.18,2.64714,5.01
3.19,1.92244,3.81
3.2,1.80849,10.01
3.21,-0.82511,4.29
3.22,1.32782,5.01
3.23,1.76815,6.20
3.24,1.39444,5.25
3.25,2.11668,6.20
3.26,1.14953,4.77
3.27,1.30406,4.77
3.28,-0.32588,5.01
3.29,1.07759,4.77
3.3,1.61429,4.77
3.31,1.34587,4.05
3.32,0.10887,5.25
3.33,0.52832,5.01
3.34,-0.26751,5.01
3.35,1.7201,5.96
3.36,0.87018,4.29
3.37,1.24236,5.25
3.38,-0.77048,3.81
3.39,0.19522,5.72
3.4,1.05388,5.01
3.41,0.52594,5.01
3.42,1.23171,6.91
3.43,0.06579,4.05
3.44,0.6311,9.30
3.45,0.36629,7.39
3.46,0.50746,8.82
3.47,0.82413,5.01
3.48,-1.13263,4.05
3.49,3.42154,9.06
3.5,7.32939,3.81
3.51,10.15323,15.26
3.52,13.32052,5.01
3.53,16.03956,3.81
3.54,18.3781,5.96
3.55,21.75457,9.06
3.56,24.09608,4.05
3.57,23.99758,3.81
3.58,24.27241,4.77
3.59,23.42653,5.96
3.6,22.6562,4.05
3.61,19.63078,7.15
3.62,17.0952,4.05
3.63,13.2775,4.77
3.64,9.68521,5.96
3.65,6.25311,4.77
3.66,2.17644,5.25
3.67,-0.69973,4.05
3.68,-2.80756,4.77
3.69,-2.7194,6.20
3.7,-0.10681,4.05
3.71,1.18164,5.96
3.72,1.48668,4.05
3.73,0.19167,4.29
3.74,1.39622,5.01
3.75,0.36735,4.05
3.76,2.47017,3.81
3.77,1.14294,18.12
3.78,0.71821,25.99
3.79,0.50983,27.18
3.8,1.54472,31.95
3.81,1.41463,8.11
3.82,1.26289,9.06
3.83,1.34567,7.15
3.84,1.22239,14.07
3.85,2.1002,5.01
3.86,0.22906,9.06
3.87,2.03373,5.96
3.88,-1.15391,8.82
3.89,-1.71351,6.91
3.9,-1.05726,7.15
3.91,-0.6627,11.21
3.92,2.19776,6.20
3.93,2.53774,9.30
3.94,2.30928,6.91
3.95,1.29107,7.87
3.96,2.03357,7.15
3.97,1.34213,5.96
3.98,1.3814,6.20
