timestamp_s,pitch_degrees,control_latency_microseconds
0.0,0.2
0.01,0.2332,57.22
0.02,0.97113,36.95
0.03,0.41844,11.21
0.04,0.8024,19.07
0.05,0.382,5.96
0.06,0.33815,5.25
0.07,0.22947,3.10
0.08,0.6457,8.82
0.09,-0.05442,7.87
0.1,-0.10275,4.05
0.11,0.17746,3.81
0.12,-0.16189,3.81
0.13,-0.03743,6.20
0.14,0.49746,3.10
0.15,0.27034,3.10
0.16,-0.12715,1.91
0.17,0.66734,4.77
0.18,0.35578,4.77
0.19,-0.24557,3.10
0.2,-0.36237,3.10
0.21,-0.06612,3.10
0.22,-0.15005,3.10
0.23,-0.53794,1.91
0.24,-0.45595,3.10
0.25,-0.30851,1.67
0.26,0.39128,1.91
0.27,-0.07967,3.10
0.28,-0.49732,3.10
0.29,0.41643,6.20
0.3,0.11707,8.11
0.31,-0.38788,11.92
0.32,0.17539,6.91
0.33,0.00961,5.25
0.34,-0.07062,4.29
0.35,-0.46177,4.05
0.36,-0.14605,2.15
0.37,-0.44124,3.10
0.38,0.20716,2.15
0.39,-0.39904,1.91
0.4,0.09847,1.91
0.41,0.41355,0.95
0.42,0.01075,1.91
0.43,-0.01667,2.15
0.44,-0.17203,1.19
0.45,0.24537,3.10
0.46,-0.06123,1.91
0.47,0.06592,3.10
0.48,0.01602,6.91
0.49,-0.27681,4.77
0.5,-0.19828,4.77
0.51,-0.4914,8.11
0.52,-0.03738,3.81
0.53,-0.10553,4.05
0.54,0.35722,2.86
0.55,-0.14545,1.91
0.56,-0.33012,1.91
0.57,-0.36277,4.05
0.58,0.8214,3.10
0.59,-0.08403,2.86
0.6,0.80312,2.15
0.61,-0.14442,2.86
0.62,-0.02931,2.15
0.63,0.21943,3.10
0.64,0.36585,3.10
0.65,-0.00463,2.86
0.66,-0.02222,2.15
0.67,0.44232,3.10
0.68,-0.11624,2.86
0.69,-0.50143,0.95
0.7,-0.36234,3.10
0.71,-0.08018,2.15
0.72,-0.15898,2.15
0.73,-0.27802,1.91
0.74,-0.54516,2.15
0.75,-0.2299,0.95
0.76,-0.37535,0.95
0.77,-0.13343,1.91
0.78,-0.02961,4.05
0.79,0.04864,3.81
0.8,1.02605,0.72
0.81,0.58328,2.15
0.82,0.2308,0.95
0.83,-0.11972,0.95
0.84,-0.17531,2.15
0.85,-0.22914,1.67
0.86,0.44511,1.91
0.87,-0.08413,1.19
0.88,0.15428,1.91
0.89,0.74943,1.91
0.9,0.02272,0.72
