timestamp_s,pitch_degrees,control_latency_microseconds
0.0,0.2
0.01,0.15184,77.72
0.02,0.86843,36.95
0.03,-0.00449,24.08
0.04,0.55879,22.17
0.05,-0.07753,40.05
0.06,0.035,15.02
0.07,-0.08476,15.26
0.08,0.39144,21.93
0.09,-0.46596,30.28
0.1,-0.22765,17.88
0.11,0.07475,45.06
0.12,-0.32249,25.03
0.13,-0.03574,15.97
0.14,0.46547,18.12
0.15,0.05488,22.89
0.16,-0.25905,20.98
0.17,0.66877,9.06
0.18,0.05007,36.95
0.19,0.38326,35.05
0.2,-0.76747,26.94
0.21,-0.02462,18.36
0.22,-1.1772,14.07
0.23,-0.38371,14.07
0.24,-0.48249,10.01
0.25,0.60786,10.01
0.26,-0.32277,9.06
0.27,-1.58268,14.07
0.28,-2.26896,10.01
0.29,0.09215,13.11
0.3,-2.60782,8.11
0.31,-4.15712,8.11
0.32,-1.97588,6.91
0.33,-1.04639,5.96
0.34,-0.45441,6.20
0.35,-0.96246,6.20
0.36,0.4724,16.93
0.37,-0.51913,10.97
0.38,1.49106,8.82
0.39,-0.7118,11.21
0.4,-0.04869,6.91
0.41,-0.30868,6.91
0.42,-0.02483,6.91
0.43,-0.5011,6.91
0.44,0.54412,6.91
0.45,0.13708,6.91
0.46,-0.34232,30.99
0.47,0.83061,26.23
0.48,-0.78214,30.04
0.49,-1.43173,13.11
0.5,-1.15203,10.97
0.51,-0.37059,9.06
0.52,-0.46119,9.06
0.53,0.16786,7.87
0.54,0.19092,7.87
0.55,-0.89301,16.69
0.56,-0.24698,10.01
0.57,-1.01134,10.97
0.58,0.82696,11.21
0.59,-0.69612,13.11
0.6,2.21965,9.06
0.61,1.90487,7.87
0.62,1.45447,6.91
0.63,0.07141,9.78
0.64,-0.62081,12.87
0.65,-0.21278,6.91
0.66,-0.41871,6.91
0.67,0.93076,6.91
0.68,-1.10152,10.01
0.69,-1.43535,5.96
0.7,-0.94369,10.97
0.71,0.24328,6.91
0.72,-1.48989,6.91
0.73,-2.41051,9.06
0.74,-1.31822,6.91
0.75,-0.16842,7.87
0.76,-0.79246,6.91
0.77,0.68421,7.87
0.78,0.83212,8.82
0.79,-0.79616,15.02
0.8,-0.65722,14.07
0.81,-0.29724,15.02
0.82,-0.452,8.82
0.83,0.1752,7.87
0.84,-0.76271,5.96
0.85,-0.84064,5.01
0.86,0.88711,5.96
0.87,-0.33708,6.20
0.88,1.19511,10.97
0.89,0.37722,5.01
0.9,-0.66503,5.96
0.91,-0.25879,5.96
0.92,-0.65576,5.01
0.93,0.5736,10.01
0.94,0.01587,6.91
0.95,0.6111,9.06
0.96,-0.81485,5.72
0.97,-1.95182,5.96
0.98,-1.03893,7.87
0.99,-0.38033,5.25
1.0,-0.62027,5.96
1.01,0.02412,4.77
1.02,0.811,6.91
1.03,-0.89181,6.20
1.04,-1.36079,5.96
1.05,0.60265,6.91
1.06,1.61772,5.96
1.07,0.88815,5.25
1.08,-0.0995,6.91
1.09,0.13867,6.20
1.1,-0.31189,6.91
1.11,0.27429,5.72
1.12,-0.30441,10.01
1.13,0.99666,6.20
1.14,-1.08689,5.01
1.15,-2.48545,6.91
1.16,-3.50922,5.25
1.17,-4.14837,6.20
1.18,-1.60934,5.01
1.19,-1.2845,3.81
1.2,0.37061,6.20
1.21,-1.46765,6.20
1.22,-1.3404,4.77
1.23,-0.87379,4.05
1.24,-0.30282,5.96
1.25,-1.11161,5.25
1.26,0.05543,8.11
1.27,-2.62062,5.96
1.28,-0.27678,6.91
1.29,0.8775,5.72
1.3,1.93277,4.77
1.31,1.8505,4.77
1.32,2.34643,6.91
1.33,1.5971,5.01
1.34,-0.68504,5.01
1.35,-0.79369,6.20
1.36,-1.11,4.77
1.37,-0.76053,5.01
1.38,0.0357,5.01
1.39,-0.83354,5.01
1.4,0.69144,6.91
1.41,-0.38749,5.25
1.42,0.95289,5.01
1.43,-0.30642,5.01
1.44,-1.28741,14.07
1.45,-0.26072,9.78
1.46,-0.66811,6.91
1.47,0.43765,9.06
1.48,-1.91291,6.91
1.49,-1.89801,7.87
1.5,-0.82085,7.87
1.51,-0.41676,6.91
1.52,-1.53059,6.91
1.53,0.73565,5.25
1.54,1.64398,5.96
1.55,-0.10452,6.20
1.56,1.00275,6.91
1.57,-1.1374,5.96
1.58,-1.82479,6.91
1.59,-1.70044,6.91
1.6,0.59056,5.96
1.61,-1.35901,5.01
1.62,-2.28183,5.96
1.63,-2.53336,4.77
1.64,-2.44934,5.72
1.65,-0.54511,5.25
1.66,-1.36711,5.96
1.67,0.76566,5.72
1.68,1.54367,4.77
1.69,1.76482,5.01
1.7,-1.77406,5.01
1.71,-2.14802,20.03
1.72,-1.78085,33.14
1.73,-0.9477,28.85
1.74,-0.52736,15.26
1.75,-0.28921,14.07
1.76,-0.79386,15.02
