timestamp_s,pitch_degrees,control_latency_microseconds
2.34,-0.25781,1.67
2.35,0.43833,0.95
2.36,0.68576,1.91
2.37,-0.10709,0.95
2.38,-0.00332,2.15
2.39,-0.17858,6.91
2.4,0.02573,6.91
2.41,0.42375,5.01
2.42,0.0416,3.10
2.43,0.43195,3.10
2.44,-0.23769,5.72
2.45,-0.73441,2.15
2.46,-0.38269,1.91
2.47,-0.06987,2.86
2.48,0.21234,0.95
2.49,-0.38629,2.15
2.5,0.32909,1.91
2.51,-0.0958,1.19
2.52,0.10724,1.19
2.53,-0.07991,0.95
2.54,0.58234,3.10
2.55,-0.21839,3.10
2.56,0.47648,1.67
2.57,-0.29653,1.67
2.58,-0.03551,1.19
2.59,0.09827,0.95
2.6,0.2198,0.95
2.61,0.21221,0.95
2.62,0.17357,1.67
2.63,0.11995,0.95
2.64,-0.02716,1.19
2.65,-0.14363,1.91
2.66,-0.34794,2.15
2.67,0.40407,1.91
2.68,-0.1507,0.72
2.69,0.16933,0.95
2.7,-0.16226,1.19
2.71,-0.13738,2.15
2.72,-0.42333,0.95
2.73,0.17093,0.95
2.74,-0.00976,0.95
2.75,-0.03017,0.95
2.76,0.54858,0.95
2.77,-0.03186,0.72
2.78,0.03257,1.19
2.79,0.00346,2.15
2.8,0.00925,1.19
2.81,0.29234,0.95
2.82,-0.41199,1.91
2.83,-0.24452,2.15
2.84,0.19314,1.67
2.85,-0.11,2.15
2.86,-0.01873,2.15
2.87,0.73273,1.91
2.88,0.01392,1.19
2.89,0.32396,2.15
2.9,0.30227,5.72
2.91,-0.23259,1.19
2.92,-0.28703,2.15
2.93,0.41673,0.95
2.94,0.02472,1.91
2.95,-0.24886,0.95
2.96,0.25523,0.95
2.97,-0.55312,1.91
2.98,-0.14589,0.95
2.99,-0.35947,1.91
3.0,-0.17418,1.67
3.01,0.5083,0.95
3.02,-0.02071,0.95
3.03,0.36646,0.72
3.04,0.22048,1.67
3.05,0.15809,0.95
3.06,-0.69703,0.95
3.07,-0.16174,2.15
3.08,-0.2641,1.91
3.09,-0.15156,0.72
3.1,-0.22283,0.95
3.11,-0.02534,0.95
3.12,0.25047,0.95
3.13,0.67127,2.15
3.14,0.78611,0.72
3.15,0.17772,0.95
3.16,-0.04164,0.95
3.17,-0.48115,2.15
3.18,0.21323,0.95
3.19,-0.16672,2.15
3.2,0.06611,0.95
3.21,-0.6125,0.95
3.22,-0.53145,1.19
3.23,-0.46105,2.15
3.24,0.39129,1.91
3.25,-0.37099,1.19
3.26,-0.34096,1.91
3.27,-0.03158,2.15
3.28,0.4207,1.19
3.29,0.6342,1.19
3.3,0.23195,0.95
3.31,0.27251,2.15
3.32,0.08609,1.19
3.33,0.65346,2.15
3.34,-0.26602,2.15
3.35,0.67178,0.95
3.36,-0.50625,1.91
3.37,0.31074,0.95
3.38,-0.17421,1.19
3.39,0.27851,0.95
3.4,0.0741,1.19
3.41,-0.564,1.19
3.42,-0.11876,2.15
3.43,-0.40301,0.95
3.44,-0.58912,0.95
3.45,0.62257,1.91
3.46,-0.35584,0.72
3.47,0.2793,1.19
3.48,-0.53842,0.72
3.49,-0.17749,0.95
3.5,0.1284,0.95
3.51,-0.22941,0.95
3.52,-0.15927,1.19
3.53,-0.00134,0.95
3.54,0.12073,1.91
3.55,-0.02122,1.67
3.56,0.58164,1.91
3.57,0.32153,1.91
3.58,-0.18696,1.91
3.59,-0.3265,0.95
3.6,0.19297,1.19
3.61,-0.24535,1.19
3.62,-0.10143,0.95
3.63,0.00587,0.95
3.64,-0.3134,0.95
3.65,-0.12076,1.19
3.66,0.12696,1.91
3.67,-0.12566,0.72
3.68,-0.51021,1.91
3.69,0.13191,0.95
3.7,-0.09872,1.91
3.71,0.10649,0.95
3.72,0.11272,1.19
3.73,0.23561,0.72
3.74,0.8651,2.15
3.75,0.71518,1.19
3.76,-0.01192,2.15
3.77,0.42057,1.67
3.78,0.40624,2.15
3.79,-0.42005,0.95
3.8,0.21464,0.95
3.81,-0.39527,15.97
3.82,-0.1437,5.96
3.83,-0.45074,5.96
3.84,0.04838,3.81
3.85,0.29104,9.06
3.86,0.02921,9.78
3.87,-0.32302,3.10
3.88,0.36175,4.29
3.89,-0.59464,6.20
3.9,-0.05317,10.25
3.91,0.29084,6.91
3.92,0.40937,11.92
3.93,-0.64705,2.86
3.94,-0.34,3.10
3.95,0.45015,3.10
3.96,-0.40799,1.91
3.97,0.20743,2.15
