timestamp_s,pitch_degrees,control_latency_microseconds
0.0,0.2
0.01,0.44511,1093.15
0.02,0.12445,974.18
0.03,0.17949,841.86
0.04,0.07345,824.69
0.05,-0.05105,849.72
0.06,0.24634,864.98
0.07,0.20713,840.90
0.08,0.474,792.74
0.09,-0.35793,895.98
0.1,-0.17637,806.81
0.11,0.35908,804.90
0.12,0.20576,823.02
0.13,-0.41229,851.15
0.14,0.06963,789.88
0.15,0.5461,781.06
0.16,-0.15898,798.94
0.17,0.03128,771.76
0.18,0.44665,791.07
0.19,-1.82344,785.83
0.2,0.58198,791.07
0.21,-0.01052,793.93
0.22,0.94771,771.05
0.23,0.08965,795.13
0.24,1.14926,783.21
0.25,-1.1771,803.71
0.26,-1.11255,1087.19
0.27,-0.91073,1106.98
0.28,0.5939,1030.21
0.29,-1.13091,989.91
0.3,-1.3853,891.92
0.31,0.49565,850.92
0.32,1.05104,942.71
0.33,1.09831,859.02
0.34,0.3342,854.73
0.35,-0.79332,930.07
0.36,0.12142,858.31
0.37,0.3598,859.74
0.38,0.13924,802.99
0.39,0.15202,797.03
0.4,0.582,818.01
0.41,-1.27628,786.07
0.42,-0.3143,808.24
0.43,-0.25766,793.22
0.44,0.03034,792.98
0.45,-0.96137,785.83
0.46,0.50451,876.90
0.47,0.24898,797.03
0.48,-0.05154,825.17
0.49,1.12673,835.66
0.5,-0.14561,803.71
0.51,1.53887,795.84
0.52,-0.11804,776.05
0.53,-0.09507,811.10
0.54,0.68575,794.17
0.55,-0.95979,781.06
0.56,-1.50044,953.67
0.57,0.06849,1014.95
0.58,-0.13651,1049.04
0.59,-0.31584,1000.88
0.6,0.91095,897.88
0.61,-1.37774,850.92
0.62,-1.71599,816.11
0.63,-1.22784,805.14
0.64,0.46871,789.64
0.65,0.00618,846.15
0.66,-0.63278,833.75
0.67,-0.1159,813.72
0.68,-0.5622,786.07
0.69,1.7366,772.00
0.7,-1.02041,775.34
0.71,-2.23491,776.05
0.72,-2.89427,826.84
0.73,-3.58198,899.08
0.74,-3.46474,820.16
0.75,-3.09206,801.09
0.76,2.60848,1223.09
0.77,1.58213,1246.93
0.78,2.09802,1092.91
0.79,1.0745,988.96
0.8,0.88278,1034.02
0.81,0.51922,1217.13
0.82,-0.40881,1026.87
0.83,0.00486,1004.22
0.84,1.223,1108.88
0.85,-2.97842,916.96
0.86,-3.09184,843.05
0.87,-2.68896,899.08
0.88,-0.06251,854.97
0.89,-0.68735,816.11
0.9,0.99047,932.22
0.91,-0.44722,823.97
0.92,2.78588,798.94
0.93,2.84819,797.27
0.94,1.46849,796.08
0.95,0.08712,916.96
0.96,1.58712,1128.91
0.97,0.79439,881.91
0.98,0.21988,811.82
0.99,0.60046,783.92
1.0,-0.85741,904.08
1.01,0.67201,798.94
1.02,1.61155,805.85
1.03,0.6578,905.99
1.04,0.33751,796.08
1.05,0.18128,782.25
1.06,0.6223,777.96
1.07,-1.84426,817.06
1.08,1.80569,791.07
1.09,2.36999,794.89
1.1,4.48457,841.86
1.11,5.41873,766.04
1.12,4.30409,792.03
1.13,4.56842,798.94
1.14,-0.78669,764.85
1.15,-4.46901,805.14
1.16,-8.50555,772.95
1.17,-11.13812,791.07
1.18,-13.73392,777.24
1.19,-13.25107,773.91
1.2,-13.21748,826.12
1.21,-9.67008,772.00
1.22,-7.57158,777.96
1.23,-3.7672,778.91
1.24,-2.01005,808.00
1.25,-0.72225,780.11
1.26,-1.74298,772.00
1.27,1.99055,836.85
1.28,3.25072,772.95
1.29,5.03031,805.14
1.3,6.1942,839.95
1.31,2.18764,775.10
1.32,0.38703,806.09
1.33,-1.48829,782.01
1.34,-0.32378,785.35
1.35,-0.20482,772.00
1.36,0.32894,782.97
1.37,-1.63423,808.24
1.38,-0.69635,787.97
1.39,-1.75163,781.77
1.4,0.24147,780.11
1.41,-0.88027,775.10
1.42,-0.70307,763.18
1.43,-0.06157,777.01
1.44,-0.65873,782.73
1.45,1.31576,765.09
1.46,0.07383,763.18
1.47,1.74424,767.95
1.48,-1.33406,787.97
1.49,-1.42013,761.99
1.5,-1.89621,836.85
1.51,-1.85313,781.06
1.52,0.41164,776.77
1.53,-0.76738,783.92
1.54,-1.11055,796.79
1.55,-1.37156,780.11
1.56,-1.97843,780.11
1.57,-0.02904,814.68
1.58,-3.1454,770.81
