timestamp_s,pitch_degrees,control_latency_microseconds
2.35,2.65857,5.01
2.36,1.06819,4.77
2.37,-0.07913,4.77
2.38,0.94008,5.25
2.39,1.15457,4.77
2.4,-0.79454,10.01
2.41,1.33995,5.01
2.42,1.57882,4.05
2.43,2.73047,4.29
2.44,1.67859,5.25
2.45,0.0456,4.05
2.46,2.70542,5.01
2.47,3.60719,5.25
2.48,3.46181,5.25
2.49,1.44352,5.25
2.5,2.05625,5.96
2.51,-0.59148,4.05
2.52,-1.29243,4.29
2.53,-1.02889,4.05
2.54,1.92964,5.25
2.55,0.65383,6.91
2.56,1.75551,12.16
2.57,-0.28392,7.87
2.58,1.09158,6.20
2.59,0.60374,5.01
2.6,0.83289,6.91
2.61,-0.39164,5.25
2.62,1.45557,5.72
2.63,1.54213,5.72
2.64,1.58845,6.20
2.65,-0.22285,7.87
2.66,-0.49461,8.11
2.67,1.86137,5.96
2.68,1.98559,6.20
2.69,0.22644,7.87
2.7,-0.85648,5.25
2.71,-0.11043,5.01
2.72,-0.37604,10.01
2.73,1.93525,6.91
2.74,0.72778,4.05
2.75,1.12048,4.05
2.76,0.29921,4.29
2.77,-0.73805,5.01
2.78,0.40644,7.15
2.79,-0.44102,5.01
2.8,1.195,5.25
2.81,1.24962,4.77
2.82,-1.03939,5.01
2.83,-0.48354,5.96
2.84,0.25769,4.29
2.85,-0.88133,4.77
2.86,1.27257,4.77
2.87,2.7067,4.05
2.88,2.59199,6.20
2.89,0.00507,5.01
2.9,-1.16066,6.91
2.91,-2.79662,6.91
2.92,-0.97479,7.87
2.93,0.43078,5.72
2.94,-0.46852,6.20
2.95,1.64034,5.01
2.96,2.87085,5.01
2.97,1.75596,6.20
2.98,0.80847,3.81
2.99,0.74354,27.18
3.0,0.23143,32.19
3.01,1.76817,16.93
3.02,-0.4199,12.16
3.03,0.10522,10.01
3.04,-0.25194,14.07
3.05,0.90421,7.87
3.06,-0.53288,10.97
3.07,0.52865,6.91
3.08,-1.14421,5.25
3.09,0.51394,7.87
3.1,0.6394,5.96
3.11,0.79837,5.96
3.12,-0.07471,6.91
3.13,0.65554,10.01
3.14,-0.72586,4.77
3.15,-0.3161,6.20
3.16,0.01378,9.06
3.17,-0.16489,6.91
3.18,1.79486,4.05
3.19,0.11456,5.96
3.2,0.76323,7.87
3.21,-0.59153,6.20
3.22,0.31274,5.01
3.23,-0.87396,5.01
3.24,2.52348,6.20
3.25,2.77834,4.77
3.26,3.68368,7.15
3.27,2.58919,6.20
3.28,2.14915,5.25
3.29,-0.28141,6.91
3.3,1.48927,7.15
3.31,2.27966,4.77
3.32,2.47258,5.72
3.33,3.22891,6.20
3.34,1.35803,4.05
3.35,2.61173,5.25
3.36,-1.60615,6.20
3.37,-2.15858,5.72
3.38,-3.30373,7.15
3.39,-3.47445,5.96
3.4,-1.65464,4.77
3.41,-1.06426,5.72
3.42,1.40537,5.01
3.43,0.13802,6.91
3.44,0.37627,6.20
3.45,1.47939,4.05
3.46,-1.36154,4.77
3.47,-1.30315,4.77
3.48,-0.23941,6.20
3.49,0.38196,5.01
3.5,0.0876,4.05
3.51,0.33962,4.77
3.52,0.37526,5.25
3.53,0.54646,4.77
3.54,0.17199,5.96
3.55,0.91051,5.96
3.56,0.59216,6.20
3.57,0.63083,4.05
3.58,-0.24159,5.96
3.59,1.14571,5.25
3.6,1.23737,7.15
3.61,-0.04427,5.01
3.62,0.55794,5.01
3.63,0.11467,5.01
3.64,0.69138,5.96
3.65,0.02585,6.20
3.66,0.96263,3.81
3.67,-0.6742,5.01
3.68,-1.01999,7.15
3.69,0.73216,6.20
3.7,-0.07689,4.05
3.71,1.54596,5.72
3.72,-0.04696,11.92
3.73,0.17209,5.72
3.74,1.0724,5.25
3.75,-0.5391,4.77
3.76,-0.27841,5.96
3.77,1.2433,5.96
3.78,0.22707,4.05
3.79,0.00522,5.25
3.8,1.76417,41.96
3.81,-0.2305,6.91
3.82,0.71384,5.72
3.83,0.39478,10.97
3.84,1.35443,6.91
3.85,-0.40929,5.25
3.86,-1.37287,6.20
3.87,-2.1445,5.72
3.88,1.03578,7.15
3.89,0.87488,4.77
3.9,1.23498,5.25
3.91,-0.08633,4.77
3.92,0.01674,7.87
3.93,-0.56281,5.96
3.94,2.02478,4.05
3.95,3.55802,3.81
3.96,0.92852,5.25
3.97,1.17844,9.06
3.98,-0.0445,8.82
3.99,0.72094,5.25
4.0,-0.35538,6.91
4.01,1.23028,4.29
4.02,0.86669,4.77
4.03,0.74029,5.96
4.04,0.0012,4.05
4.05,2.25968,5.01
4.06,1.08084,5.96
4.07,1.93047,4.05
4.08,0.16447,5.25
4.09,2.81212,6.20
4.1,2.29519,5.96
4.11,0.32315,4.77
4.12,-1.64048,4.77
4.13,-1.47551,4.29
4.14,-0.63029,4.05
4.15,0.832,5.96
4.16,-0.60526,5.01
4.17,-1.10926,4.05
4.18,-0.24415,4.77
4.19,0.27683,5.01
4.2,-0.25242,5.01
4.21,1.10268,5.25
4.22,1.31165,5.01
4.23,-0.13756,4.29
4.24,-0.74503,5.01
4.25,-1.27018,6.91
4.26,0.4609,5.25
4.27,-1.13375,6.20
4.28,-1.42758,5.01
4.29,-0.75771,6.20
4.3,0.34198,5.72
4.31,-0.38088,5.96
4.32,-0.73846,4.77
4.33,0.59452,5.01
4.34,-1.37819,5.72
4.35,0.34331,4.05
4.36,0.32822,4.77
4.37,0.45782,4.05
4.38,0.5369,5.01
4.39,0.06051,5.01
4.4,1.86175,6.20
4.41,1.14393,5.96
4.42,1.23357,4.05
4.43,-0.63049,9.06
4.44,1.55604,5.01
4.45,0.83427,4.05
4.46,1.18684,5.01
4.47,-0.83998,5.72
4.48,2.40703,5.96
4.49,3.47355,5.96
4.5,6.03498,5.01
4.51,6.15932,5.25
4.52,6.76494,5.96
4.53,5.62695,10.25
4.54,1.5121,5.01
4.55,0.29989,5.01
4.56,0.62388,5.72
4.57,0.61381,4.29
4.58,-0.0897,5.01
4.59,1.54906,5.72
4.6,2.11999,4.05
4.61,1.29371,5.96
4.62,0.77266,5.01
4.63,1.57066,6.91
4.64,0.5244,5.72
4.65,1.76312,14.07
4.66,0.51901,9.06
4.67,0.17291,6.91
4.68,1.65378,9.06
4.69,0.42027,6.91
4.7,0.37095,5.01
4.71,1.17925,4.77
4.72,-0.73749,5.25
4.73,-1.19692,7.15
4.74,0.79574,4.77
4.75,-0.06718,5.72
4.76,1.52224,5.01
4.77,1.33148,4.05
4.78,-0.46649,5.72
4.79,3.28422,6.91
4.8,5.74687,4.05
4.81,8.44095,5.72
4.82,10.70318,5.01
4.83,13.3918,6.20
4.84,14.56739,4.77
4.85,13.02526,5.96
4.86,11.35253,5.72
4.87,6.78019,5.72
4.88,1.79327,5.25
4.89,-1.53931,15.74
4.9,-3.26762,5.25
4.91,-4.30639,10.01
4.92,-5.86936,4.05
4.93,-2.46968,5.96
4.94,-0.41948,4.77
4.95,2.09375,36.72
4.96,3.19636,23.13
4.97,0.28069,12.87
4.98,0.73333,15.26
4.99,0.20005,8.82
5.0,0.41935,14.07
5.01,1.82152,11.21
5.02,0.0025,7.15
5.03,1.99208,12.64
5.04,2.03505,6.91
5.05,0.13096,6.91
5.06,0.19634,4.77
5.07,1.32731,12.16
5.08,-1.2893,5.72
5.09,-1.13821,5.96
5.1,-1.34416,5.96
5.11,0.3389,4.77
5.12,-0.23835,10.01
5.13,0.98942,6.20
5.14,-0.36108,4.05
5.15,-0.07752,5.96
5.16,1.22357,7.15
5.17,-0.22545,6.91
5.18,0.19239,5.01
5.19,0.50525,6.91
5.2,0.88697,3.81
5.21,0.18275,4.77
5.22,1.59699,4.77
5.23,1.08495,5.01
5.24,1.30568,5.01
5.25,0.01646,6.91
5.26,1.60444,4.77
5.27,0.92634,6.20
5.28,1.75392,6.20
