timestamp_s,pitch_degrees,control_latency_microseconds
2.36,-0.6927,996.11
2.37,1.82285,1197.10
2.38,3.40989,977.04
2.39,4.10841,812.05
2.4,1.81973,857.83
2.41,1.80735,813.96
2.42,-0.07933,798.94
2.43,0.02703,802.99
2.44,0.8758,808.95
2.45,-0.4056,797.99
2.46,-0.25357,764.85
2.47,1.33948,777.96
2.48,-0.71351,770.81
2.49,-1.23822,773.91
2.5,-1.18972,799.89
2.51,1.23561,787.97
2.52,-0.21311,777.96
2.53,0.59084,806.09
2.54,-1.24456,767.95
2.55,1.71952,786.30
2.56,4.08524,771.05
2.57,5.33433,763.89
2.58,7.08249,792.98
2.59,8.27478,764.85
2.6,4.82793,794.17
2.61,1.39778,772.95
2.62,-0.78092,764.13
2.63,-3.05765,777.01
2.64,-1.25394,768.90
2.65,-0.34129,774.86
2.66,1.01647,768.18
2.67,-0.52404,763.18
2.68,0.70954,766.75
2.69,-1.28606,758.89
2.7,0.85372,804.90
2.71,0.36546,772.00
2.72,-2e-05,766.99
2.73,1.356,801.09
2.74,1.44891,789.17
2.75,-1.12547,772.00
2.76,0.07156,773.91
2.77,0.98837,775.10
2.78,1.19434,767.23
2.79,1.87756,775.10
2.8,-1.50332,756.98
2.81,-1.20342,747.92
2.82,-0.57121,787.26
2.83,0.18023,900.98
2.84,0.17568,778.68
2.85,0.22454,792.98
2.86,1.14374,771.76
2.87,-0.29358,756.98
2.88,-0.20823,823.97
2.89,1.27817,818.01
2.9,1.26473,1142.02
2.91,-0.6028,1165.87
2.92,1.46649,1125.81
2.93,2.88592,986.10
2.94,3.77137,826.84
2.95,4.41499,823.02
2.96,3.34245,802.04
2.97,0.05378,810.15
2.98,0.49655,886.92
2.99,0.65867,854.97
3.0,0.27948,805.85
3.01,0.84523,812.05
3.02,-0.37723,801.80
3.03,0.1254,857.11
3.04,-0.01735,835.90
3.05,1.37966,798.94
3.06,1.56189,802.99
3.07,-0.98711,793.93
3.08,2.86143,768.90
3.09,4.55509,834.23
3.1,6.94844,821.11
3.11,9.57539,789.17
3.12,10.68075,784.87
3.13,13.43256,849.96
3.14,13.57417,828.03
3.15,11.62117,816.11
3.16,7.56407,809.19
3.17,2.80547,838.99
3.18,-0.46745,827.79
3.19,-2.68603,791.07
3.2,-3.58885,802.99
3.21,-0.95765,787.97
3.22,0.70792,824.69
3.23,2.66912,792.03
3.24,1.35061,787.73
3.25,1.70973,792.03
3.26,1.3938,813.72
3.27,0.72459,802.04
3.28,0.70701,834.23
3.29,1.55162,823.97
3.3,1.05116,801.09
3.31,0.65354,795.84
3.32,1.79591,838.04
3.33,0.40929,795.84
3.34,0.95541,835.90
3.35,-0.04858,802.04
3.36,1.18803,809.91
3.37,1.06025,829.94
3.38,1.8624,770.81
3.39,-0.66889,772.24
3.4,0.40053,848.05
3.41,0.03226,805.14
3.42,1.11727,781.06
3.43,0.28339,796.79
3.44,0.54739,792.98
3.45,0.96924,823.02
3.46,0.58048,815.15
3.47,-0.05253,766.04
3.48,1.97174,832.80
3.49,0.17825,802.76
3.5,-1.45354,775.10
3.51,-1.06206,800.13
3.52,0.85827,791.79
3.53,-1.85153,813.96
3.54,-0.95565,790.83
3.55,-1.14503,770.09
3.56,1.25554,845.91
3.57,0.01578,777.01
3.58,-0.29944,807.05
3.59,0.92823,792.26
3.6,1.22841,780.82
3.61,-0.06288,762.94
3.62,2.81306,766.99
3.63,2.24922,764.37
3.64,1.28478,768.90
3.65,1.25048,782.97
3.66,1.36081,781.06
3.67,-0.50278,828.98
3.68,3.27565,793.22
3.69,5.10467,788.93
3.7,7.43322,810.86
3.71,9.18416,804.19
3.72,10.57571,808.00
3.73,9.53206,777.96
3.74,5.89554,766.04
3.75,2.66311,808.00
3.76,-0.51048,753.88
3.77,-2.6189,844.00
3.78,-2.72472,823.02
3.79,-1.88774,810.62
3.8,-0.33057,777.01
3.81,0.58365,796.08
3.82,-0.20218,795.84
3.83,1.14915,831.84
3.84,1.06171,810.86
3.85,1.36426,847.10
3.86,0.42483,798.94
3.87,1.95439,805.14
3.88,1.40536,802.04
3.89,0.67563,780.11
3.9,2.22223,754.12
3.91,2.17624,827.07
3.92,0.20689,823.97
3.93,0.64061,788.93
3.94,0.23954,823.97
3.95,1.51444,769.14
3.96,1.12219,799.89
3.97,1.69544,832.80
3.98,-0.11381,808.00
3.99,1.20831,823.02
4.0,-1.16339,795.13
4.01,-0.49431,756.98
4.02,0.66866,820.88
4.03,0.28609,808.00
4.04,1.9227,759.12
4.05,-0.87609,805.14
4.06,-1.42383,780.11
4.07,-2.84682,802.99
4.08,-0.98273,935.08
4.09,-0.14431,1235.96
4.1,1.03513,956.77
4.11,1.81082,863.08
4.12,-0.30953,828.98
4.13,-1.36606,857.11
4.14,-0.65606,774.15
4.15,0.96866,907.90
4.16,0.38669,836.85
4.17,2.35567,868.08
4.18,3.61394,792.98
4.19,1.3665,787.02
4.2,1.0069,887.63
4.21,1.88132,859.98
4.22,-0.4459,801.09
4.23,-0.85427,789.88
4.24,-1.59458,857.83
4.25,0.09391,818.25
4.26,-0.37177,833.75
4.27,0.50711,842.09
4.28,1.23496,829.94
4.29,-0.849,801.09
4.3,2.31638,784.16
