timestamp_s,pitch_degrees,control_latency_microseconds
0.0,0.2
0.01,0.15184,18969.77
0.02,0.86843,957.01
0.03,-0.00449,830.89
0.04,0.55879,807.05
0.05,-0.07753,804.19
0.06,0.035,979.90
0.07,-0.08476,977.99
0.08,0.39144,845.19
0.09,-0.46596,911.00
0.1,-0.22765,901.94
0.11,0.07475,795.84
0.12,-0.32249,893.83
0.13,-0.03574,837.09
0.14,0.46547,790.12
0.15,0.05488,770.09
0.16,-0.25905,903.84
0.17,0.66877,780.82
0.18,0.05007,1122.00
0.19,0.38325,972.99
0.2,-0.76748,862.84
0.21,-0.02468,900.03
0.22,-1.17704,849.72
0.23,-0.38373,932.69
0.24,-0.48314,810.86
0.25,0.60947,782.25
0.26,-0.32296,875.00
0.27,-1.58496,838.99
0.28,-2.27812,797.99
0.29,0.0657,787.97
0.3,-2.67944,771.05
0.31,-4.37344,854.02
0.32,-2.53561,836.85
0.33,-1.64905,815.15
0.34,0.14137,794.17
0.35,-1.49316,802.04
0.36,-1.54298,797.75
0.37,-1.85904,777.96
0.38,0.55521,794.89
0.39,-0.30239,797.03
0.4,1.48338,790.60
0.41,0.10555,797.03
0.42,0.091,768.18
0.43,-0.09893,787.02
0.44,-0.54692,874.04
0.45,-0.09484,824.21
0.46,-0.84318,1037.12
0.47,1.11878,1034.98
0.48,1.02886,879.05
0.49,0.42726,857.83
0.5,0.22558,857.83
0.51,-0.52577,846.15
0.52,1.12422,907.18
0.53,0.63524,896.93
0.54,0.88494,867.84
0.55,-1.63822,828.98
0.56,-1.68257,824.21
0.57,-1.43585,849.01
0.58,0.17213,838.04
0.59,-1.81787,790.12
0.6,0.995,767.95
0.61,0.29508,786.30
0.62,1.16201,785.83
0.63,0.64795,877.86
0.64,0.06572,817.78
0.65,-0.21508,797.99
0.66,0.10099,783.92
0.67,0.08301,787.02
0.68,-0.67546,779.87
0.69,0.69985,782.01
0.7,1.22342,769.14
0.71,0.66979,795.13
0.72,-0.16467,794.17
0.73,0.57549,782.01
0.74,-0.06824,901.22
0.75,0.59458,771.05
0.76,-1.11856,778.91
0.77,-0.6688,762.22
0.78,-0.72273,802.04
0.79,0.20273,842.09
0.8,-0.24207,833.03
0.81,-0.71754,801.80
0.82,0.21993,786.30
0.83,-0.59187,798.23
0.84,0.1162,847.10
0.85,-0.44306,792.74
0.86,1.13442,781.06
0.87,-1.59567,791.07
0.88,-2.17408,784.16
0.89,-2.07531,766.99
0.9,-2.08946,777.01
0.91,1.50395,903.84
0.92,3.64279,768.90
0.93,5.15279,756.98
0.94,4.64342,806.81
0.95,3.56919,776.05
0.96,3.28484,769.14
0.97,-2.37198,785.83
0.98,-4.02089,797.99
0.99,-5.06405,798.94
1.0,-5.53852,782.01
1.01,-6.79817,810.86
1.02,-5.91673,774.15
1.03,-5.23549,757.69
1.04,-4.66859,752.21
1.05,-1.14637,825.88
1.06,-0.52375,776.29
1.07,-0.10492,780.11
1.08,-0.9545,863.08
1.09,0.90804,792.98
1.1,1.6584,787.97
1.11,1.24035,1184.94
1.12,-0.97559,1050.95
1.13,1.144,895.02
1.14,1.4888,831.13
1.15,1.31321,801.09
1.16,0.01975,799.18
1.17,1.26677,777.96
1.18,0.59569,856.88
1.19,0.1151,774.86
1.2,0.74729,778.91
1.21,-1.72594,838.99
1.22,-0.31297,787.02
1.23,0.13044,785.83
1.24,0.55767,780.11
1.25,-0.67974,776.77
1.26,1.73243,771.05
1.27,-0.97944,813.01
1.28,-1.54131,791.79
1.29,-1.90058,781.06
1.3,0.46732,815.15
1.31,0.15869,761.03
1.32,0.37674,794.89
1.33,-0.96972,765.09
1.34,1.16292,828.74
1.35,1.6372,790.12
1.36,2.30801,854.97
1.37,-0.1345,769.14
1.38,-0.33353,764.85
1.39,0.67801,822.07
1.4,-0.75891,797.99
1.41,-2.28099,790.60
1.42,-1.18347,782.97
1.43,-0.22627,795.84
1.44,-1.77519,771.76
1.45,-0.54169,788.21
1.46,-1.01424,812.05
1.47,0.26718,786.07
1.48,-0.85102,767.23
1.49,1.62506,768.90
1.5,-0.49059,764.85
1.51,-1.37643,760.79
1.52,-3.25556,784.16
1.53,-3.19038,763.89
1.54,-1.83731,764.13
1.55,-1.10213,750.06
1.56,0.3086,819.92
1.57,-1.85762,805.14
1.58,-2.53067,787.97
1.59,-2.33295,766.28
1.6,-0.66116,770.09
1.61,-1.3215,768.90
1.62,0.22047,793.22
1.63,0.87799,784.16
