timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
0.96,0.48703,0.95,0.48921,2.15,-0.04222,0.95
0.97,-0.12128,2.15,0.28032,1.91,0.25227,0.95
0.98,0.36656,1.19,0.10745,1.91,-0.3928,1.19
0.99,0.7,0.95,0.07859,1.19,0.61752,1.19
1.0,0.71492,1.91,0.01314,0.95,-0.13487,0.95
1.01,-0.2252,1.91,-0.17774,0.95,-0.22731,0.95
1.02,0.71233,2.15,-0.00196,1.91,-0.16631,1.67
1.03,0.17293,2.15,-0.65032,0.95,-0.00172,1.91
1.04,-0.32868,0.95,-0.67255,1.91,0.4985,1.91
1.05,-0.26094,6.91,-0.43268,1.19,-0.05452,0.95
1.06,0.01699,0.95,0.28953,1.91,0.24745,0.95
1.07,0.42443,0.72,-0.34225,1.19,-0.07943,1.19
1.08,0.02672,1.67,0.65784,1.91,0.65347,1.19
1.09,-0.12402,2.15,-0.2049,0.95,0.01564,1.91
1.1,-0.30002,3.1,0.52105,2.15,0.10079,0.95
1.11,-0.45059,3.1,0.18948,2.15,0.31307,0.95
1.12,-0.64064,1.67,-0.76697,0.72,0.52921,4.29
1.13,0.10581,2.15,0.00226,0.95,-0.27083,3.1
1.14,0.53165,1.19,0.0221,0.95,-0.16355,7.15
1.15,0.01008,2.15,0.09423,2.15,-0.1087,1.91
1.16,-0.2924,0.95,-0.38518,0.95,-0.49628,0.95
1.17,-0.37844,2.15,0.20487,0.95,-0.31929,0.95
1.18,0.31122,3.1,0.36131,0.95,0.23217,0.95
1.19,0.23657,1.91,0.15549,0.95,-0.13852,3.1
1.2,0.6357,1.67,-0.41906,0.95,-0.29315,1.91
1.21,0.32668,2.15,0.10177,0.95,0.12644,1.91
1.22,0.14566,0.95,-0.69592,1.91,-0.02519,0.95
1.23,0.11172,1.19,0.21516,1.19,0.36431,3.1
1.24,-0.10506,0.95,-0.05857,2.15,-0.09154,1.91
1.25,-0.37902,8.34,0.11264,1.91,-0.03124,1.19
1.26,0.2654,1.91,-0.36102,0.95,-0.14171,2.15
1.27,-0.59959,1.91,0.5116,0.95,-0.80136,0.95
1.28,-0.50827,0.95,0.07452,1.91,0.00274,0.95
1.29,-0.01299,0.95,0.36363,1.91,-0.7762,2.15
1.3,0.46409,1.67,0.68857,0.95,-0.56927,1.67
1.31,0.00517,2.15,-0.28898,3.1,-0.41285,2.15
1.32,0.11263,1.91,0.22066,2.15,-0.41223,1.91
1.33,-0.02996,2.86,0.02193,2.15,-0.16623,1.19
1.34,0.20913,2.15,0.09017,0.95,0.44267,1.19
1.35,-0.09187,2.15,0.12088,2.15,0.59779,0.95
1.36,-0.14867,2.15,0.52277,1.91,0.7552,0.95
1.37,-0.17608,1.67,-0.12282,0.95,0.8059,1.67
1.38,0.02692,1.91,0.59692,2.15,-0.10843,2.15
1.39,0.40585,1.91,-0.38376,2.15,0.7957,1.67
1.4,0.88005,1.91,-0.30613,1.91,0.05881,2.15
1.41,0.05964,2.15,-0.17659,1.91,0.48093,2.15
1.42,0.69715,1.91,-0.1786,1.91,0.15718,0.95
1.43,0.56299,2.15,-0.2897,2.15,-0.28574,1.67
1.44,-0.16565,2.15,-0.08856,2.15,-0.63893,0.95
1.45,0.05177,1.91,0.43288,0.95,0.43699,0.72
1.46,0.10702,1.91,-0.28975,0.95,-0.14015,0.95
1.47,0.23359,0.72,0.66841,1.91,-0.55613,0.95
1.48,-0.6381,6.91,0.23889,1.67,0.14554,0.72
1.49,-0.12877,5.25,0.18229,0.95,-0.40796,1.91
1.5,0.24159,2.86,0.25718,0.95,-0.58539,2.15
1.51,0.22389,4.05,0.02516,0.95,-0.20656,1.19
1.52,-0.69758,1.91,-0.61428,2.15,0.00918,1.91
1.53,-0.25371,2.15,-0.03861,0.95,0.37424,1.19
1.54,0.34451,2.15,-0.09412,1.91,0.12612,0.95
1.55,-0.54366,0.95,-0.11069,0.95,0.03298,2.62
1.56,-0.01761,2.15,-0.94383,1.19,-0.24687,7.15
1.57,-0.25592,2.15,-0.03243,0.95,-0.50217,6.91
