timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
0.96,-0.81485,5.72,5.14735,6.91,-2.52544,4.77
0.97,-1.95182,5.96,7.59168,6.2,-2.52424,6.2
0.98,-1.03893,7.87,9.18391,6.2,-2.53776,9.06
0.99,-0.38033,5.25,9.05472,6.91,1.02757,7.87
1.0,-0.62027,5.96,8.16919,14.78,1.71813,4.77
1.01,0.02412,4.77,5.99264,4.77,1.25345,5.01
1.02,0.811,6.91,2.84115,8.11,0.23298,5.25
1.03,-0.89181,6.2,-0.1194,6.91,0.56466,6.91
1.04,-1.36079,5.96,-1.83798,26.23,0.40722,6.2
1.05,0.60265,6.91,-1.15843,23.84,-0.69303,5.96
1.06,1.61772,5.96,0.17056,17.88,0.87241,4.29
1.07,0.88815,5.25,-1.28227,10.01,0.29236,5.01
1.08,-0.0995,6.91,0.5356,13.11,1.3605,3.81
1.09,0.13867,6.2,-1.25353,10.01,-0.60997,7.15
1.1,-0.31189,6.91,0.55953,6.91,0.10749,5.25
1.11,0.27429,5.72,-0.87658,6.91,-0.62765,9.06
1.12,-0.30441,10.01,-0.82041,4.77,0.85864,5.96
1.13,0.99666,6.2,1.07245,8.11,0.31942,4.29
1.14,-1.08689,5.01,0.90096,5.25,0.64964,4.77
1.15,-2.48545,6.91,-0.05644,5.72,-0.53864,4.77
1.16,-3.50922,5.25,0.3697,5.72,-0.04969,5.01
1.17,-4.14837,6.2,0.67061,6.91,-0.46981,5.25
1.18,-1.60934,5.01,-0.76431,20.98,0.60778,5.01
1.19,-1.2845,3.81,-0.81463,5.01,-0.25275,4.77
1.2,0.37061,6.2,-0.814,8.82,1.37004,10.01
1.21,-1.46765,6.2,1.37224,5.25,1.3921,5.96
1.22,-1.3404,4.77,-0.9691,5.25,0.19701,5.01
1.23,-0.87379,4.05,-0.24783,7.15,0.63227,5.01
1.24,-0.30282,5.96,-1.07044,5.01,-1.23229,5.25
1.25,-1.11161,5.25,0.49283,6.91,2.38177,6.91
1.26,0.05543,8.11,-1.38002,4.77,4.38264,3.81
1.27,-2.62062,5.96,-0.92217,6.91,5.78566,5.01
1.28,-0.27678,6.91,-0.87617,5.25,8.47432,4.77
1.29,0.8775,5.72,0.75811,7.15,9.65878,4.77
1.3,1.93277,4.77,0.41022,5.01,10.53661,5.01
1.31,1.8505,4.77,-0.3428,4.77,7.51051,5.01
1.32,2.34643,6.91,1.29987,4.77,4.35681,5.96
1.33,1.5971,5.01,-0.0291,8.11,1.43147,4.77
1.34,-0.68504,5.01,0.68623,5.72,0.39894,3.81
1.35,-0.79369,6.2,-0.33531,10.97,0.43314,5.01
1.36,-1.11,4.77,0.61988,4.77,0.10068,5.01
1.37,-0.76053,5.01,-1.47095,6.2,0.73289,5.01
1.38,0.0357,5.01,1.40323,9.06,-1.27678,4.05
1.39,-0.83354,5.01,1.07692,6.91,1.47815,5.01
1.4,0.69144,6.91,1.80918,5.01,0.38427,5.01
1.41,-0.38749,5.25,2.0723,6.2,1.32983,5.01
1.42,0.95289,5.01,0.69605,5.96,-0.49685,8.11
1.43,-0.30642,5.01,0.93198,4.29,0.93038,5.96
1.44,-1.28741,14.07,-0.57834,6.2,1.29208,4.77
1.45,-0.26072,9.78,0.21968,4.77,0.93245,5.01
1.46,-0.66811,6.91,-1.27872,5.01,-0.48783,4.05
1.47,0.43765,9.06,2.1153,4.77,0.34917,6.91
1.48,-1.91291,6.91,2.86235,6.91,1.4963,5.96
1.49,-1.89801,7.87,3.21856,5.25,-0.88414,5.25
1.5,-0.82085,7.87,0.06467,12.16,-1.71792,5.96
1.51,-0.41676,6.91,-1.94998,7.87,-1.13391,5.25
1.52,-1.53059,6.91,-4.06257,7.39,0.98931,5.01
1.53,0.73565,5.25,-4.5299,6.2,-0.7202,5.01
1.54,1.64398,5.96,-4.89766,7.15,-1.81898,5.25
1.55,-0.10452,6.2,-2.00696,5.72,-2.42775,6.2
1.56,1.00275,6.91,-1.10178,7.15,-2.2531,4.77
1.57,-1.1374,5.96,1.21287,6.91,-0.12545,4.05
1.58,-1.82479,6.91,0.14759,5.25,0.8152,5.01
1.59,-1.70044,6.91,1.20692,5.01,0.06781,4.05
1.6,0.59056,5.96,-0.7906,7.15,1.45821,6.2
1.61,-1.35901,5.01,-1.58796,5.72,-1.21601,5.01
1.62,-2.28183,5.96,0.21098,4.05,-1.95814,5.01
1.63,-2.53336,4.77,-0.01009,5.96,-1.58426,5.01
1.64,-2.44934,5.72,1.36833,4.77,-0.23359,5.01
1.65,-0.54511,5.25,-1.02508,4.05,-0.37363,5.96
1.66,-1.36711,5.96,-1.61722,5.96,1.0899,4.05
1.67,0.76566,5.72,-0.66736,7.87,0.58824,4.77
1.68,1.54367,4.77,-0.10049,5.96,0.4794,5.01
1.69,1.76482,5.01,-0.24105,4.77,0.07909,5.96
1.7,-1.77406,5.01,0.33116,5.01,1.20997,5.01
1.71,-2.14802,20.03,-0.24012,3.81,0.0229,5.01
1.72,-1.78085,33.14,0.11218,8.82,0.37106,10.97
1.73,-0.9477,28.85,0.34358,5.96,-0.72187,5.01
1.74,-0.52736,15.26,-1.08534,5.25,2.27454,5.25
1.75,-0.28921,14.07,1.59697,5.25,3.45639,4.77
1.76,-0.79386,15.02,3.20689,4.77,2.75244,2.86
1.77,0.67991,8.11,3.77679,5.01,2.59193,2.62
1.78,0.64609,6.2,3.72481,4.77,0.56963,5.01
1.79,-1.07781,5.96,1.19046,4.77,-1.02334,5.01
1.8,0.51301,5.96,-0.10089,7.15,-0.94542,4.05
1.81,0.9396,11.68,-0.42615,5.01,0.20487,5.25
1.82,0.94677,7.87,1.18325,5.01,-0.64662,4.05
1.83,-0.69314,5.96,-1.00501,7.87,0.32922,4.05
1.84,-0.03027,6.91,-2.29415,5.96,-0.02819,5.25
1.85,-0.6522,5.96,-2.60469,5.25,1.40732,4.77
1.86,0.06658,5.72,-1.00567,4.05,-0.33492,5.25
1.87,-0.62186,5.96,1.0495,11.92,0.01984,5.01
1.88,1.1685,5.72,-0.08238,5.01,-0.22498,3.81
1.89,-0.27454,6.91,-0.38233,7.15,1.62816,4.77
1.9,1.20567,6.91,1.32804,5.72,0.9084,10.97
1.91,0.85219,5.96,-0.70879,5.96,-0.15372,4.05
