timestamp_s,pitch_degrees_t1,control_latency_microseconds_t1,pitch_degrees_t2,control_latency_microseconds_t2,pitch_degrees_t3,control_latency_microseconds_t3
0.96,1.60244,645.16,1.47618,707.86,-1.63897,674.25
0.97,1.08034,613.93,0.46621,614.88,0.32319,646.83
0.98,0.47097,663.04,0.72863,635.15,-1.3748,625.13
0.99,0.60089,615.84,-0.57233,644.92,-0.53134,643.97
1.0,-0.57385,667.1,0.62742,636.1,-1.65907,639.92
1.01,-0.45227,614.88,1.07579,694.99,-0.73734,749.83
1.02,0.91427,620.13,0.40558,613.93,-0.80625,633.0
1.03,-1.04433,653.98,0.02638,675.92,0.54399,623.94
1.04,-1.7494,643.01,0.48053,643.01,0.47717,886.68
1.05,0.16945,630.86,-0.41019,591.99,-0.81007,830.17
1.06,1.35395,668.76,1.08449,632.76,0.20621,742.91
1.07,1.75008,645.88,-0.55132,679.97,-1.43597,696.18
1.08,-0.00913,651.84,0.47669,604.87,-0.68248,676.63
1.09,0.06928,641.11,-1.69006,600.1,-1.08501,642.78
1.1,-0.2064,641.82,-0.38878,607.01,0.87685,688.79
1.11,0.11964,682.12,-1.14969,591.75,-0.00363,660.9
1.12,-0.88736,635.86,-0.36971,604.87,-0.01466,637.05
1.13,0.46454,672.82,0.87316,678.78,-1.1864,627.99
1.14,0.17133,643.97,-0.18146,612.02,-0.03926,650.88
1.15,-0.28865,627.99,0.91521,592.95,-1.19789,644.68
1.16,0.29329,624.18,-0.6319,595.09,-1.00676,621.8
1.17,-0.86696,633.0,-0.48249,596.28,-0.04795,655.89
1.18,-0.17504,607.97,0.33589,593.9,-0.76298,932.22
1.19,-0.92873,627.04,-0.77282,617.98,0.15911,875.0
1.2,0.29808,651.12,-0.40962,612.02,0.35401,790.12
1.21,-0.69504,617.98,0.47635,773.91,0.0915,686.17
1.22,0.04996,610.59,-1.83864,983.0,-0.03296,651.12
1.23,-0.75996,624.9,1.06187,672.1,0.38948,657.08
1.24,0.32139,629.19,1.52743,694.04,-1.30379,633.0
1.25,-0.57136,623.7,2.63149,632.05,-0.1302,630.14
1.26,0.69064,621.08,1.62356,658.75,-0.10929,639.92
1.27,-1.01371,632.05,1.10477,613.93,-0.49864,621.08
1.28,-0.19424,617.98,-0.18403,605.11,1.11573,617.98
1.29,-0.69318,599.86,1.71103,637.05,-1.95387,621.08
1.3,0.93546,603.91,2.62817,614.17,-2.84521,619.17
1.31,-0.31365,647.07,0.74098,638.01,-2.77875,684.02
1.32,0.0621,634.91,2.25313,617.98,-2.03656,622.03
1.33,-0.78421,607.01,-0.09478,615.84,-0.31667,731.95
1.34,0.75241,622.27,-1.23006,602.96,-1.1003,778.2
1.35,-0.04611,620.84,-1.00515,617.03,-0.92484,698.8
1.36,-0.09899,627.99,0.31881,612.97,0.13078,627.99
1.37,-0.14121,597.95,-1.29481,607.01,-0.71779,681.16
1.38,0.09089,611.07,0.86242,614.17,-1.3102,633.0
1.39,-0.16415,630.14,-0.25103,599.86,1.2747,633.0
1.4,0.80491,610.11,1.28846,617.98,-0.17761,609.16
1.41,-0.87256,612.97,-0.16832,639.92,1.10749,620.84
1.42,0.04428,591.75,-0.19584,625.13,-0.21888,629.66
1.43,-1.23549,627.04,0.33149,605.34,0.76583,634.91
1.44,-0.40313,795.13,-0.35143,648.98,-0.36297,615.12
1.45,0.27403,724.08,0.9688,610.11,0.42435,612.02
1.46,-0.17196,828.98,0.05214,607.01,-1.93869,664.23
1.47,0.6504,971.08,2.27165,599.15,-1.60071,649.93
1.48,-1.04813,715.02,2.2485,611.07,-0.5383,652.07
1.49,-0.34911,785.83,-0.12661,609.64,-1.68101,650.17
1.5,-0.42819,718.83,-1.28527,620.13,0.08975,625.13
1.51,0.28505,659.94,-2.10084,641.11,0.99649,627.04
1.52,-1.90885,679.02,-0.26531,633.24,-0.01618,634.91
1.53,0.64124,685.93,0.99676,620.84,0.17969,623.94
1.54,2.30637,633.96,-0.25246,638.01,-0.82294,646.11
1.55,2.1776,669.24,-0.89819,611.07,0.5453,635.86
1.56,3.2876,684.02,-1.12685,620.13,0.6176,627.99
1.57,0.63521,730.04,1.86736,595.33,-0.32778,620.13
1.58,0.32961,638.96,-0.39358,604.87,1.24273,621.8
1.59,-0.19618,614.88,-0.78101,621.08,0.93083,631.09
1.6,0.78463,641.11,-1.75758,610.11,-0.10477,620.6
1.61,-0.75441,617.98,-2.33693,600.81,-0.553,605.11
1.62,-1.80714,638.96,1.32681,614.88,0.53189,614.17
1.63,-1.24984,615.84,1.80527,607.97,-0.12017,595.09
1.64,0.43429,621.08,3.77982,621.08,-0.73437,620.13
1.65,-0.33004,622.03,1.95474,591.99,0.49333,598.91
1.66,-0.48469,873.8,0.86433,611.07,0.08899,592.95
1.67,0.43331,965.83,0.58201,607.97,0.28205,607.01
1.68,-0.49277,718.83,0.30519,599.86,-0.62254,600.81
1.69,0.57849,625.85,0.54231,624.18,0.12358,658.99
1.7,-1.72893,706.91,-0.40253,627.04,-0.36372,629.66
1.71,-1.06506,661.13,0.98833,595.09,0.3243,620.13
1.72,-0.17118,647.07,-0.46932,612.26,-0.33443,624.9
1.73,-1.43455,632.05,0.42486,602.96,0.12741,612.02
1.74,-0.32455,693.08,-1.61082,638.25,-0.4852,601.77
1.75,-0.20058,648.02,0.54329,610.11,0.60623,640.15
1.76,-0.51178,621.08,1.92715,606.06,-1.0999,729.08
1.77,0.69575,597.95,2.49037,643.01,-0.65742,962.97
1.78,-0.1051,595.81,1.00869,607.01,0.10753,728.13
1.79,-0.39888,609.16,1.82674,618.93,-1.30333,730.28
1.8,0.35482,601.05,-0.53249,597.0,-1.09746,675.92
1.81,-0.64463,666.86,-1.17218,601.05,0.14818,648.98
1.82,0.02777,1033.07,-0.07975,597.0,-0.16636,636.1
1.83,-0.88818,1164.67,-0.5266,627.99,0.38184,797.03
1.84,0.43483,935.08,0.42983,593.9,-1.2984,805.85
1.85,0.97501,899.08,-0.42223,594.14,0.36862,752.93
1.86,-0.35328,815.87,-1.50681,713.11,0.25366,644.21
1.87,0.52377,913.86,0.29588,624.9,0.22336,692.13
1.88,0.30631,808.95,-0.83512,616.79,-0.54715,647.07
1.89,-0.62729,936.75,-0.84422,619.89,1.13826,627.04
1.9,1.29864,936.99,1.08344,618.93,0.85926,621.8
1.91,0.41817,932.93,-0.89558,625.85,-0.78878,622.03
1.92,0.65452,967.03,-1.55954,598.91,0.38146,615.12
1.93,-0.87268,883.1,-2.30559,586.75,-2.10451,624.18
1.94,0.68581,1020.91,-1.77313,615.84,-1.85248,632.05
1.95,0.70263,1116.04,1.34262,843.05,-1.20767,668.05
1.96,-0.0702,933.89,0.39163,854.73,0.04697,627.28
1.97,0.46898,954.87,0.03756,872.85,-0.85108,615.84
1.98,-1.05993,794.89,0.16434,746.01,-0.62047,611.07
1.99,-0.63552,685.21,-0.58553,807.76,-0.7218,608.92
2.0,-0.17279,715.02,1.80136,657.08,-0.01507,617.03
2.01,-0.51654,705.96,-0.97562,643.01,-0.10908,621.08
2.02,0.14674,714.78,-1.99506,613.21,-0.52812,638.96
2.03,-0.8532,645.88,-2.40799,673.06,0.46663,638.96
2.04,0.66777,707.86,-1.96693,610.11,-0.07447,628.23
2.05,1.02516,648.98,-0.0698,605.34,-0.56366,616.79
2.06,-0.64583,730.04,0.25677,694.04,0.81677,624.9
2.07,1.11398,658.04,0.44846,648.98,-1.58882,717.64
2.08,1.00457,626.09,-0.44522,749.83,-1.3904,655.89
2.09,-0.55385,627.99,0.30871,665.9,-1.39727,622.99
2.1,-0.43753,668.05,0.09033,621.08,-0.33014,639.92
2.11,0.37915,669.0,0.47698,693.08,-0.84957,621.8
2.12,-1.07422,611.07,-1.18341,628.95,0.39121,616.31
2.13,0.35504,643.97,1.11648,609.16,-0.45043,699.76
2.14,0.65169,645.88,1.59819,612.02,0.62971,640.87
2.15,0.81465,624.9,1.6944,653.03,-0.6358,641.11
2.16,-0.6136,621.08,-0.17127,607.01,0.13332,611.78
2.17,-0.48856,622.03,0.98507,599.15,-0.26127,693.08
2.18,1.20948,656.13,-0.04929,638.96,-0.46172,719.79
2.19,-1.31434,615.84,0.51013,625.85,0.4016,641.11
2.2,-1.496,622.75,-0.45422,607.01,-0.77878,645.88
2.21,-2.30019,656.84,1.2332,594.85,-0.71971,627.99
2.22,-0.23097,625.85,0.05588,612.97,0.43909,628.95
2.23,-0.27032,616.07,-1.13956,615.84,-1.09233,614.88
2.24,-0.12613,643.97,0.55032,597.95,-0.64018,624.18
2.25,-0.09344,609.64,-1.19129,618.93,-0.23101,613.93
2.26,-0.46952,663.76,0.44133,607.97,-0.42543,636.1
2.27,0.41292,621.8,1.77131,625.85,-0.1266,632.05
2.28,-0.00735,599.62,2.23364,599.86,-0.97124,624.18
2.29,-0.1596,647.31,0.62081,625.85,0.29651,919.82
2.3,0.0403,675.92,0.87183,609.16,-2.33804,941.04
2.31,-0.81978,604.87,0.37031,598.19,-1.30534,771.05
2.32,1.30452,603.91,0.11808,608.92,-1.74116,674.96
2.33,0.68702,612.02,0.00501,619.17,1.32865,649.93
2.34,-0.42017,605.34,0.27382,617.98,0.88285,633.0
2.35,1.35923,627.04,0.32214,594.14,0.78072,684.98
2.36,0.90396,594.14,0.29029,584.84,-1.08731,627.04
2.37,-0.2919,602.01,-0.54398,614.88,0.40848,610.11
2.38,1.10393,625.13,1.19638,591.04,0.86176,627.76
2.39,-0.81382,618.93,0.70231,612.97,0.65148,656.13
2.4,-0.0071,603.91,0.92164,634.91,-0.17493,634.67
2.41,-0.96602,621.8,-0.25628,627.28,1.11897,609.16
2.42,-1.45835,643.73,-0.67036,618.93,-0.97935,626.8
2.43,0.20388,623.23,0.77217,598.91,-0.43323,622.99
2.44,0.21336,614.88,-0.54073,620.84,-1.25737,612.97
2.45,-0.0508,610.11,-0.19549,1152.99,1.03004,610.11
2.46,-0.17914,599.15,0.28495,736.0,1.87404,621.08
2.47,0.04286,622.27,-0.31556,725.03,-0.09848,611.78
2.48,-0.15337,602.96,1.10395,632.05,0.57782,611.07
2.49,-0.04844,621.8,-0.22234,655.89,-1.05465,670.19
2.5,-0.14384,689.98,1.07102,664.71,-1.07002,638.01
2.51,-0.10075,677.82,-0.87995,627.99,0.67045,645.88
2.52,-0.58681,602.01,-1.04126,627.28,-0.55186,647.07
2.53,0.70271,608.92,0.70685,631.09,0.01025,615.84
2.54,-0.2132,671.86,1.62358,634.19,-0.89823,613.93
2.55,-0.34041,636.82,0.80911,600.81,0.58289,615.12
2.56,0.91516,649.93,1.3433,641.11,-0.56291,603.2
2.57,-0.74841,635.15,-1.77194,618.93,1.02365,623.94
2.58,-0.58201,595.81,-0.50099,637.77,-0.39256,611.07
2.59,-0.56573,611.07,-0.10187,613.93,-0.06219,661.13
2.6,0.6529,603.2,0.25992,617.98,-0.91889,609.16
2.61,-1.9787,619.89,0.06345,639.92,0.07368,607.97
2.62,-2.41273,601.77,0.48739,658.27,-0.48757,623.23
2.63,-3.17365,596.05,-0.60294,619.89,0.97229,637.05
2.64,-2.54746,601.05,0.20092,652.07,-0.1249,595.81
2.65,0.74245,604.15,0.06832,682.83,1.05103,740.05
2.66,-0.8183,638.96,0.16254,625.13,0.44002,642.06
2.67,-1.34075,619.89,0.72065,632.05,-0.19302,617.98
2.68,-1.7136,587.7,-1.15567,616.79,0.53462,661.13
2.69,-1.67053,723.84,0.94717,625.13,-1.03444,623.7
2.7,0.25401,686.88,1.33187,601.05,-1.31202,615.12
2.71,-0.58549,657.08,1.73991,633.96,-0.76398,631.09
2.72,-2.08653,661.13,-0.27052,631.09,-0.99676,610.83
2.73,-2.62482,687.84,0.51564,610.11,0.90748,704.05
2.74,-1.24564,628.95,-0.98617,627.99,-0.44236,633.0
2.75,-0.66444,816.11,0.5836,616.07,-0.4009,607.01
2.76,-0.90718,1463.89,2.10805,603.2,-0.80525,634.19
2.77,-0.21759,914.1,1.03958,645.88,0.38905,636.82
2.78,0.34033,881.2,0.98586,603.2,-1.49117,598.67
2.79,-1.32962,885.01,-0.26653,613.69,-0.82236,632.05
2.8,0.90003,804.19,0.77536,603.2,-0.96174,600.1
